timestamp,protocol,src_ip,dst_ip,dst_port,action,bytes,mitre_tag
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,88,ALLOW,0,T1595 - Active Scanning
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,135,ALLOW,0,T1595 - Active Scanning
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,139,ALLOW,0,T1595 - Active Scanning
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,389,ALLOW,0,T1595 - Active Scanning
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,445,ALLOW,0,T1595 - Active Scanning
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,464,ALLOW,0,T1595 - Active Scanning
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,636,ALLOW,0,T1595 - Active Scanning
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,3268,ALLOW,0,T1595 - Active Scanning
2026-05-07T06:46:23.151901,TCP,192.168.1.105,192.168.1.5,3269,ALLOW,0,T1595 - Active Scanning
2026-05-07T07:10:23.151901,TCP,192.168.1.105,45.33.22.11,443,ALLOW,45000,T1588 - Obtain Capabilities
2026-05-07T09:49:23.151901,TCP,192.168.1.5,45.33.22.11,443,ALLOW,1200,T1071 - Application Layer Protocol
2026-05-07T09:49:23.151901,TCP,192.168.1.5,45.33.22.11,443,ALLOW,1200,T1071 - Application Layer Protocol
2026-05-07T09:49:23.151901,TCP,192.168.1.5,45.33.22.11,443,ALLOW,1200,T1071 - Application Layer Protocol
2026-05-07T09:49:23.151901,TCP,192.168.1.5,45.33.22.11,443,ALLOW,1200,T1071 - Application Layer Protocol
2026-05-07T09:49:23.151901,TCP,192.168.1.5,45.33.22.11,443,ALLOW,1200,T1071 - Application Layer Protocol
2026-05-07T10:07:23.151901,TCP,192.168.1.5,45.33.22.11,8080,ALLOW,500000000,T1048 - Exfiltration Over Alternative Protocol
